# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,32703,2715.6804,1642.0568
 1,32192,3057.3645,1454.4086
 1,  988,3585.1147,1283.6732
 1,  990,3533.6938,1517.5557
 1,32303,3041.1501,1437.1844
 1,  993,3523.6335,1335.2781
 1,  995,3505.7039,1439.3715
 1,  996,3567.0161,1639.3076
 1,  997,3493.1064,1534.2362
 1,  998,2234.5742, 587.2061
 1, 2052,3513.5547,1821.7550
 1,32300,3073.0991,1421.0510
 1,34152,2322.7932, 771.6757
 1,32168,3500.9316,1464.7484
 1,31646,2378.2754,1270.8802
 1,34150,3559.8477, 511.9576
 1, 1006,3315.3140,1327.4653
 1,34846,3062.7192,1295.2428
 1,29679,3269.4214,1103.3992
 1, 1010,3314.1533,1142.6121
 1,30050,2082.5017,1847.4658
 1, 1012,2064.3645,1512.6957
 1,31379,2195.3662,1325.8342
 1, 1014,3815.1860,1306.9573
 1, 1015,2508.4006,1224.8069
 1,28550,2306.2478,1628.7153
 1,31717,3300.9063,1142.1409
 1, 1018,3474.4453,1578.4913
 1, 1019,3563.7148,1506.5691
 1,33832,4305.2427,1118.6570
 1,29427,3072.1736,1509.1516
 1, 1022,3025.7632,1352.1257
 1, 1920,4040.8816,1491.1631
 1, 1024,2865.7961, 866.2870
 1,34844,3943.9463,1504.3042
 1, 1026,2577.5713, 484.6049
 1, 1027,3838.5410,1448.6129
 1, 1028,3036.3445, 592.1727
 1, 1029,4102.4727,1415.5021
 1,32093,2766.5659,1618.3448
 1, 1031,4128.4985, 480.5604
 1,31260,2157.0627,1358.2522
 1,31076,2377.8108, 481.5793
 1, 1035,2984.1304,1530.5566
 1,31982,2685.9585, 675.8211
 1, 1038,4327.4707,1209.0188
 1, 1039,2187.5598,1695.5272
 1, 1040,3537.6392,1270.2439
 1, 1041,3901.6855, 617.1846
 1,32199,2826.7793,1027.0190
 1, 1043,2046.7156,1075.8831
 1, 1044,3732.4563,1474.9218
 1, 1045,3032.0120, 483.7119
 1, 1046,2031.9995,1502.5710
 1, 1047,2634.4404, 883.9663
 1, 2032,2015.3120,1026.8900
 1, 1049,3198.8191,1094.7339
 1,30447,2169.0479,1426.5997
 1, 1051,2092.5173,1631.5094
 1,29650,2116.5732,1726.8246
 1,29827,3674.9402,1462.9158
 1,34826,3583.5544,1513.4912
 1, 1055,4217.2988,1858.2083
 1, 1816,3595.7017,1475.1549
 1, 1057,2127.3152, 909.5520
 1, 1058,4151.3984,2353.3149
 1,31608,3097.6194,1650.8911
 1, 1060,3937.4595,1299.4856
 1, 1062,3582.8853,1593.1526
 1,33449,3758.7505,1575.2759
 1, 1065,3528.0474,2657.7832
 1, 1066,3852.7917,1351.3462
 1, 1978,2088.5334,1048.0714
 1,31199,2864.8203,1707.1201
 1, 1069,2129.8369, 630.2041
 1,29702,2240.4595,1690.0623
 1, 1072,2659.4404,1475.4529
 1,30458,2102.4363, 609.6346
 1, 1074,2460.6741,1317.4469
 1,31187,2681.5215,1485.2988
 1,31079,2528.8777,1187.3899
 1,34841,3886.7466, 509.2872
 1, 1078,4038.1411,2249.5269
 1, 1079,3757.6240,1243.2104
 1, 1080,2052.3508, 779.1692
 1, 1081,4249.1865,1120.6102
 1,29125,2065.1172,1476.9564
 1, 1083,2332.1924, 865.4253
 1, 1084,2455.8511, 785.5342
 1, 1085,3511.2659,2668.8530
 1, 2462,3616.6804,1308.3358
 1, 1087,1894.1052,1655.4608
 1, 1964,3839.3696, 617.5429
 1,31724,2991.1584,1023.7977
 1, 2862,3799.4780,1238.4585
 1,30762,2924.9531, 725.9993
 1,29782,3781.6807,1291.2439
 1, 1095,4486.9365,2321.6797
 1, 1096,4491.4482,1679.3949
