Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65449," ",1000213.983242,112343.290731,154.627957,0.070658,0.059857,0.545471,"2,3,4",0.004691,0.176563,13.694701,0.879210,1.074955,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.553275,"2,3,4"
65452," ",1000315.488877,112102.605540,137.997177,0.064781,0.083061,0.485452,"3,4,5",0.003184,0.119834,13.438927,0.596761,0.726347,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.496749,"3,4,5"
65454," ",1000472.569076,112180.828428,140.127611,0.090278,0.070155,0.482836,"3,4,5",0.002196,0.082648,13.494438,0.506482,0.692620,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.496188,"3,4,5"
65461," ",1000243.648738,112264.167839,143.051000,0.057970,0.058661,0.470484,"3,4,5",0.005577,0.209889,13.540790,1.335528,1.665665,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.477657,"3,4,5"
65462," ",1000183.805772,112138.247538,138.700246,0.058258,0.075851,0.478362,"3,4,5",0.005178,0.194898,13.347453,1.066768,1.511481,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.487830,"3,4,5"
65477," ",1000342.646803,112204.770270,139.537544,0.067502,0.065702,0.477446,"3,4,5",0.003850,0.144913,13.541365,0.861594,1.076273,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.486649,"3,4,5"
65478," ",1000225.372801,112535.484506,137.749356,0.072842,0.067241,0.558834,"2,3,4",0.001992,0.074979,13.558816,0.458974,0.609060,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.567559,"2,3,4"
65489," ",1000206.518064,112478.071932,139.308833,0.069158,0.058950,0.554228,"2,3,4",0.003372,0.126929,13.614275,0.611077,0.771648,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.561628,"2,3,4"
65490," ",1000481.433671,112361.692287,144.866432,0.138349,0.059147,0.560256,"2,3,4",0.004030,0.151688,13.326484,1.119477,1.555363,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.580108,"2,3,4"
65492," ",1000203.609356,112119.592554,141.516296,0.058125,0.079371,0.479504,"3,4,5",0.003336,0.125546,13.376291,0.678139,0.869527,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.489492,"3,4,5"
